id,title,drinks
black,Черный кофе,"arab
damian
black
black_double
fon_libih
black_home
black_bird
black_regular
mokko_arabic
secret_old_mavr
from_termos"
souble,Растворимый кофе,
with_milk,Кофе с молоком,
with_spices,Кофе со специями,
with_chocolate_and_cocoa,Кофе с какао/шоколадом,
with_alcohol,Кофе с алкоголем,
with_fruits,Кофе с фруктами,
with_honey,Кофе с мёдом,
with_syrops,Кофе с сиропами,
with_egg,Кофе с яичным желтком,
countries,Кофе стран мира,
cold,Холодный кофе,
machie,Рецепты для кофемашин и кофеварок,