id,title,description,photos,volume
espresso,Чашка для эспрессо,"Классическая чашка для [эспрессо](espresso) выполнена из толстого белого фарфора. Высота – до 7 см, дно сужено, к краям чашка чуть расширяется. Однако современные чашки чаще всего имеют цилиндрическую форму. Неизменной остается только большая толщина стенок, для сохранения температуры напитка. 

Традиционно к чашке прилагается блюдце. Оно используется для сервировки и его размеры и форма должны соответствовать чашке. Справа от чашки кладется ложечка, а слева - комплимент от заведения.

Кроме непосредственно эспрессо данную чашку также используют и для [ристретто](ristretto).",espresso1.jpeg,30–70 мл
americano,Чашка для американо/Фильтр-кофе,"Американо по своей рецептуре – это [эспрессо](espresso), сильно разбавленный водой. Подают кофе в чашке, аналогичной чашке для экспрессо, но в некоторых кофейнях бариста наливают напиток в чашку для капучино – это позволительно с точки зрения кофейного «этикета».

Объем классического американо – 180 мл. Однако, по правилам, поверхность кофе не должна достигать краев чашки, поэтому для подачи американо и выбирают чашку побольше.",americano1.jpeg,220 мл
cappucino,Чашка для капучино,"Капучино готовится на основе классического [эспрессо](espresso), который дополняется высокой и пышной молочной пенкой. За счет этого увеличивается объем напитка в три раза по сравнению классической чашкой для эспрессо.

Популярный объем чашки для [капучино](cappucino) – 170 мл, однако встречаются варианты от 120 до 180 мл. Допускается к серверовке без блюдца, так как к [капучино](cappucino) может не подаваться сахар и ложечка.",capucino1.jpeg,120–180 мл
collins_glass,Бокал Коллинз (Collins),"Collins – это узкий высокий бокал цилиндрической формы, выполненный из стекла. Используется для подачи таких напитков, как коктейли-лонгдринки. 

Иногда используется для сервировки безалкогольных напитков, например, содовой или сока тропических фруктов. Название происходит от коктейля «Том Коллинз».",collins1.jpeg,300–410 мл
coupette_glass,Бокал Купит (Coupette),"Одна из разновидностей бокалов для Маргариты. Отличается широким горлышком, которое необходимо для смачивания солью.",coupette1.webp,350–380 мл
goblet_glass,Бокал Гоблет (Goblet),"Бокал Гоблет, он же кубок или предок современных фужеров и бокалов. Представляет собой объемную широкую чашу на толстой ножке. Кроме стекла может быть выполнен из стекла, металла или даже дерева.

Жестких требованиях о том, какой напиток подавать в этом бокале, нет. Однако, как правило, используется для подачи некрепких напитков (вино, пиво, разнообразные коктейли).",goblet1.jpeg,200 мл
highball_glass,Стакан Хайбол (Highball),"Универсальный стакан, который можно встретить практически везде. Стакан достаточно высокий, обычно представлен в цилиндрической форме. В основном используется для подачи коктейлей-лонгдринков.

Как правило, напиток в бокале Хайбол подается с трубочкой и большим количеством льда. Классический Хайбол является гладким, однако в данный момент гранёный Хайбол тоже считается каноничным.",highball1.jpeg,240–350 мл
hurricane_glass,Бокал Харрикейн (Hurricane),"Харрикейн (он же ""Ураган) является самым популярным коктейльным бокалом в мире. Имеет толстую ножку для того, чтобы не опрокидываться при максимальной заполненности.

Как правило, в нем подаются экзотические и тропические коктейли с большим количеством льда или смузи и милкшейки.",hurricane1.jpg,230–500 мл
irish_coffee_cup,Бокал для айриш кофе,"Бокал из термостойкого стекла. Получил свою популярность благодаря коктейлю ""Irish Coffee"". В нем подается ирландский кофе и бОльшую часть горячих коктейлей. Кроме прочего, бокал можно использовать для кофе и чая. ",irish.jpeg,240–360 мл
latte_glass,Бокал для латте,"Стаканы для латте, или Latte Glass – это высокие бокалы для кофе, иногда с ручкой. Изготавливаются они из жаропрочного стекла, поэтому напиток может долго сохраняться горячим. 

Бокал имеет такую форму специально для того, чтобы можно было увидеть многослойность напитка.",latte.webp,150–300 мл
margarita_glass,Бокал Маргарита (Margarita),"Бокал Маргарита (Margarita) – широкий бокал на длинной ножкев, который используется для различных коктейлей, в основном прохладительных. Бокал был создан для одноименного коктейля.

Помимо коктейля Маргарита и его разновидностей, в этом бокале подают коктейль Дайкири, а также другие слабоалкогольные тропические коктейли.",margarita.jpeg,150–500 мл
old_fashioned_glass,Стакан Олд Фешен (Old Fashion),"Бокал используется для подачи алкогольных напитков с большим количеством льда. Особенностью бокала является толстое дно для того, чтобы лед не таял слишком быстро.

Бокал выполнен в виде цилиндра, обычно не очень высокого.",old_fashion.jpeg,120–350 мл
pousse_cafe_cup,Бокал Пус кафе (Pousse Cafe) ,"Используется для приготовления слоистых коктейлей. Чаще всего в нем подаются коктейли, которые должны выпиваться ""залпом"".",pousse_cafe.jpeg,50–120 мл